,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
beta[intercept],1.15,0.49,0.38,2,1703,2018,1.00,0.012,0.0086
beta[phen[distributivity]],-0.73,0.67,-1.8,0.32,2063,2468,1.00,0.015,0.012
beta[phen[numeral]],-0.46,0.68,-1.5,0.65,2332,2475,1.00,0.014,0.01
beta[phen[scope]],-0.95,0.65,-2,0.099,1922,2355,1.00,0.015,0.011
beta[lang[zh]],0.96,0.64,-0.031,2,1756,1787,1.00,0.015,0.011
beta[phen[distributivity]:lang[zh]],-0.02,0.85,-1.4,1.3,2694,2656,1.00,0.016,0.012
beta[phen[numeral]:lang[zh]],0.09,0.89,-1.3,1.5,2661,2794,1.00,0.017,0.012
beta[phen[scope]:lang[zh]],0.17,0.86,-1.2,1.6,2355,2492,1.00,0.018,0.013
sigma_pair,0.8,0.47,0.11,1.6,398,815,1.00,0.023,0.017
